Traffic Volume,Average Speed,Travel Time Index,Congestion Level,Road Capacity Utilization,Incident Reports,Environmental Impact,Pedestrian and Cyclist Count,IsWeekend,Weather Conditions_Fog,Weather Conditions_Overcast,Weather Conditions_Rain,Weather Conditions_Windy,Roadwork and Construction Activity_Yes
50590.0,50.23029856408026,1.5,100.0,100.0,0.0,151.18,111.0,1.0,0.0,0.0,0.0,0.0,0.0
30825.0,29.377124707590276,1.5,100.0,100.0,1.0,111.65,100.0,1.0,0.0,0.0,0.0,0.0,0.0
7399.0,54.47439821046639,1.0390688456025536,28.34799386357647,36.39652493739601,0.0,64.798,189.0,1.0,0.0,0.0,0.0,0.0,0.0
60874.0,43.817610389486106,1.5,100.0,100.0,1.0,171.748,111.0,1.0,0.0,0.0,0.0,0.0,0.0
57292.0,41.11676288840868,1.5,100.0,100.0,3.0,164.584,104.0,1.0,0.0,0.0,0.0,0.0,0.0
47848.0,34.241962549718146,1.5,100.0,100.0,3.0,145.696,94.0,1.0,0.0,1.0,0.0,0.0,0.0
36574.0,29.98242956415464,1.5,100.0,100.0,3.0,123.148,115.0,1.0,0.0,0.0,0.0,0.0,0.0
25379.0,38.45517943888766,1.5,79.03882287608127,100.0,2.0,100.758,92.0,1.0,0.0,0.0,0.0,0.0,0.0
25022.0,35.039373044314026,1.5,78.97959595139889,100.0,1.0,100.044,105.0,1.0,0.0,0.0,0.0,0.0,0.0
31760.0,56.90455625809979,1.5,97.67246206775482,100.0,1.0,113.52,91.0,1.0,0.0,0.0,0.0,0.0,0.0
38446.0,26.144876261711516,1.5,100.0,100.0,3.0,126.892,84.0,1.0,0.0,1.0,0.0,0.0,0.0
15043.0,47.96984673233186,1.3548345697060469,55.74084425048581,76.63531646154289,0.0,80.086,105.0,1.0,0.0,0.0,0.0,0.0,0.0
22050.0,52.87084603742452,1.130159879263707,78.42982810236049,100.0,3.0,94.1,115.0,1.0,1.0,0.0,0.0,0.0,0.0
37877.0,26.42842443583717,1.5,100.0,100.0,1.0,125.754,96.0,1.0,0.0,1.0,0.0,0.0,0.0
29106.0,43.56398794323472,1.5,90.40985493372185,100.0,3.0,108.212,100.0,1.0,1.0,0.0,0.0,0.0,0.0
53217.0,37.57207490980107,1.5,100.0,100.0,5.0,156.434,102.0,1.0,0.0,0.0,0.0,0.0,0.0
37584.0,45.889505969673664,1.5,100.0,100.0,2.0,125.168,101.0,1.0,1.0,0.0,0.0,0.0,0.0
16676.0,53.52433334796224,1.1755885682822544,47.15579429351197,78.63350743415457,2.0,83.352,92.0,1.0,1.0,0.0,0.0,0.0,0.0
37509.0,51.5135098647949,1.5,100.0,100.0,1.0,125.018,76.0,1.0,0.0,1.0,0.0,0.0,0.0
6758.0,34.756123586657104,1.069280747964006,21.203699651426128,32.77504734397373,1.0,63.516,200.0,1.0,0.0,0.0,1.0,0.0,0.0
30209.0,31.1468640313824,1.5,100.0,100.0,2.0,110.418,90.0,1.0,0.0,0.0,0.0,0.0,1.0
20375.0,40.06999065341167,1.3379501243877818,58.38210538138319,100.0,0.0,90.75,113.0,1.0,0.0,1.0,0.0,0.0,0.0
15636.0,32.794298957181454,1.3105651842967987,48.93607080506035,82.48757325603566,1.0,81.27199999999999,115.0,1.0,0.0,1.0,0.0,0.0,0.0
23457.0,38.86905317091622,1.380024786820322,87.20214293875112,100.0,2.0,96.914,109.0,0.0,0.0,0.0,0.0,0.0,0.0
38925.0,33.52942618497861,1.5,100.0,100.0,1.0,127.85,106.0,0.0,0.0,1.0,0.0,0.0,0.0
9154.0,40.2261826942468,1.3788994309535434,40.23335460979075,48.30378185258941,0.0,68.30799999999999,197.0,0.0,0.0,0.0,0.0,0.0,0.0
24968.0,36.72769056447677,1.2984179517061691,84.89404196860987,100.0,1.0,99.936,82.0,0.0,0.0,0.0,0.0,1.0,0.0
51459.0,27.326524371119504,1.5,100.0,100.0,0.0,152.918,99.0,0.0,0.0,0.0,0.0,0.0,0.0
28481.0,36.50393786476208,1.5,100.0,100.0,2.0,106.962,116.0,0.0,0.0,1.0,0.0,0.0,0.0
10179.0,40.30824347895295,1.3949104517259778,26.938337822070565,51.83630715352135,0.0,70.358,199.0,0.0,0.0,0.0,0.0,0.0,1.0
46199.0,41.228499323474985,1.5,100.0,100.0,2.0,142.398,86.0,0.0,0.0,0.0,0.0,0.0,0.0
56242.0,52.55340842443204,1.5,100.0,100.0,0.0,162.48399999999998,106.0,0.0,0.0,0.0,0.0,0.0,1.0
20450.0,24.607678222398995,1.3616634777974994,65.13177600713266,100.0,1.0,90.9,100.0,0.0,0.0,0.0,0.0,0.0,0.0
13391.0,51.69672548830039,1.0303453312434656,37.21426110487965,63.23545838957772,0.0,76.782,194.0,0.0,0.0,0.0,0.0,0.0,0.0
28369.0,29.409745067661436,1.5,86.33738400847444,100.0,1.0,106.738,104.0,0.0,0.0,1.0,0.0,0.0,0.0
31228.0,42.57507710047305,1.5,97.78375372046088,100.0,2.0,112.456,73.0,0.0,1.0,0.0,0.0,0.0,0.0
34180.0,37.03463635867223,1.5,100.0,100.0,0.0,118.36,103.0,0.0,1.0,0.0,0.0,0.0,0.0
43569.0,40.38910043684659,1.5,100.0,100.0,1.0,137.138,92.0,0.0,0.0,0.0,0.0,0.0,0.0
16342.0,39.54830800668156,1.35870616985057,46.07800824656617,81.95511389570255,0.0,82.684,110.0,0.0,0.0,0.0,0.0,0.0,0.0
19306.0,34.979532763712655,1.170174575446567,64.50554090702242,93.9540973241508,0.0,88.612,88.0,0.0,0.0,0.0,0.0,0.0,1.0
16012.0,39.23108130476851,1.1018562619055057,57.00338777781191,82.66227859889686,0.0,82.024,118.0,0.0,0.0,0.0,0.0,1.0,0.0
49952.0,50.80134095075202,1.5,100.0,100.0,2.0,149.904,101.0,0.0,0.0,1.0,0.0,0.0,0.0
33970.0,20.0,1.5,100.0,100.0,1.0,117.94,116.0,0.0,0.0,0.0,0.0,0.0,0.0
17018.0,57.473270552317246,1.2133844367905289,64.60451832768582,87.97597211224532,0.0,84.036,108.0,0.0,0.0,0.0,0.0,0.0,0.0
58920.0,25.21236284217693,1.5,100.0,100.0,2.0,167.84,92.0,0.0,0.0,0.0,0.0,0.0,0.0
46963.0,34.44415329089545,1.5,100.0,100.0,2.0,143.926,106.0,0.0,0.0,0.0,0.0,0.0,0.0
18111.0,55.94191518470949,1.2365101742979716,58.35005407740261,86.10261638822031,0.0,86.22200000000001,97.0,0.0,0.0,1.0,0.0,0.0,0.0
22491.0,42.39264835108181,1.180975806453077,67.787140407596,100.0,0.0,94.982,102.0,0.0,0.0,0.0,0.0,0.0,0.0
38924.0,23.934740912583298,1.5,100.0,100.0,2.0,127.848,90.0,0.0,0.0,0.0,0.0,0.0,0.0
25165.0,20.0,1.5,82.6985882720979,100.0,1.0,100.33,96.0,0.0,0.0,0.0,1.0,0.0,0.0
15871.0,57.71555094994159,1.0108383970013934,47.34277657199232,76.66574796588071,1.0,81.742,104.0,0.0,0.0,0.0,0.0,0.0,0.0
46556.0,46.59329803364248,1.5,100.0,100.0,2.0,143.112,89.0,0.0,0.0,0.0,0.0,0.0,0.0
22591.0,30.915387036364404,1.236117977005923,70.66460614979086,100.0,2.0,95.182,100.0,0.0,1.0,0.0,0.0,0.0,0.0
20310.0,51.72257284413772,1.103155074173281,60.48712148145648,100.0,1.0,90.62,117.0,0.0,0.0,0.0,0.0,0.0,0.0
61024.0,44.82690983945514,1.5,100.0,100.0,2.0,172.048,89.0,0.0,0.0,0.0,0.0,0.0,0.0
28153.0,21.483153943836665,1.5,98.22425143701824,100.0,4.0,106.306,103.0,0.0,0.0,0.0,0.0,0.0,0.0
12965.0,62.7080063563551,1.2753609585710943,41.91321343874159,62.28902033239107,2.0,75.93,198.0,0.0,0.0,0.0,0.0,0.0,0.0
57145.0,45.62209850913712,1.5,100.0,100.0,1.0,164.29000000000002,89.0,0.0,0.0,1.0,0.0,0.0,1.0
40516.0,34.19584226291008,1.5,100.0,100.0,1.0,131.03199999999998,82.0,0.0,0.0,0.0,0.0,0.0,0.0
22893.0,46.965547765115744,1.127501001172828,78.82782752874019,100.0,2.0,95.786,101.0,0.0,1.0,0.0,0.0,0.0,0.0
28470.0,20.0,1.5,97.4501092643674,100.0,3.0,106.94,96.0,0.0,0.0,0.0,0.0,0.0,0.0
